Date,Close,VWAP,regime,vwap_signal,hmm_signal,equity
2007-01-03,,,,,,1.0
2007-01-04,,,,,,1.0
2007-01-05,,,,,,1.0
2007-01-08,,,,,,1.0
2007-01-09,,,,,,1.0
2007-01-10,,,,,,1.0
2007-01-11,,,,,,1.0
2007-01-12,,,,,,1.0
2007-01-16,,,,,,1.0
2007-01-17,,,,,,1.0
2007-01-18,,,,,,1.0
2007-01-19,,,,,,1.0
2007-01-22,,,,,,1.0
2007-01-23,,,,,,1.0
2007-01-24,,,,,,1.0
2007-01-25,,,,,,1.0
2007-01-26,,,,,,1.0
2007-01-29,,,,,,1.0
2007-01-30,,,,,,1.0
2007-01-31,,,,,,1.0
2007-02-01,24391.218586863462,23311.317543449837,LV_BULL,1.0,1.0,1.0
2007-02-02,24236.31598102241,23360.455588791483,LV_BULL,1.0,1.0,0.9934992469497002
2007-02-05,24337.440957975017,23413.724932084635,LV_BULL,1.0,1.0,0.9976445794552216
2007-02-06,24398.10102869256,23469.480801480906,LV_BULL,1.0,1.0,1.0001311675416693
2007-02-07,24626.86597036117,23546.337214767063,LV_BULL,1.0,1.0,1.009508739506576
2007-02-08,24921.997270127053,23628.816066718413,LV_BULL,1.0,1.0,1.021606812674886
2007-02-09,24905.19788511016,23701.06254882368,LV_BULL,1.0,1.0,1.020918169385346
2007-02-12,24993.447985152943,23760.73649624604,LV_BULL,1.0,1.0,1.0245357327148714
2007-02-13,25068.654596564174,23823.040386937326,LV_BULL,1.0,1.0,1.027618615107608
2007-02-14,25224.38846900283,23900.88733914182,LV_BULL,1.0,1.0,1.0340024848802878
2007-02-15,25119.227707988677,23986.272143399943,LV_BULL,1.0,1.0,1.0296917168180943
2007-02-16,25101.166721957736,24065.077283252806,LV_BULL,1.0,1.0,1.0289513577620826
2007-02-20,24910.22572970151,24165.50426352291,LV_BULL,1.0,1.0,1.0211242716584468
2007-02-21,24731.493418027163,24245.280514331138,LV_BULL,1.0,1.0,1.0137976458959719
2007-02-22,24599.53756464161,24321.329007296372,LV_BULL,1.0,1.0,1.0083884887834882
2007-02-23,24492.48262291254,24412.156775100557,LV_BULL,1.0,1.0,1.0040000741385662
2007-02-26,24374.240867871053,24484.66662363772,LV_BULL,-1.0,-1.0,0.9991530877119281
2007-02-27,23278.436443827875,24514.849750672285,LV_BEAR,-1.0,-1.0,1.0437727458296742
2007-02-28,23327.542647224087,24483.093184725363,LV_BEAR,-1.0,-1.0,1.041570891900188
2007-03-01,22938.182117977867,24414.343020680742,LV_BEAR,-1.0,-1.0,1.058955774648049
2007-03-02,22451.55211033512,24317.885725477554,LV_BEAR,-1.0,-1.0,1.0814213586276278
2007-03-05,22130.480588742663,24202.668700056645,LV_BEAR,-1.0,-1.0,1.0968863741147896
2007-03-06,22511.813645068483,24078.625500046594,LV_BEAR,-1.0,-1.0,1.0779857889329156
2007-03-07,22286.159617805886,23949.699294404916,LV_BEAR,-1.0,-1.0,1.0887913081345126
2007-03-08,22234.07860398534,23818.42371733539,LV_BEAR,-1.0,-1.0,1.091335728354914
2007-03-09,22350.28755398989,23715.595331692977,HV_BULL,-1.0,0.0,1.0856317375868036
2007-03-12,22468.32885153939,23617.929858672305,HV_BULL,-1.0,0.0,1.0854688928261655
2007-03-13,21695.96494440324,23467.817192431226,LV_BEAR,-1.0,-1.0,1.0854688928261655
2007-03-14,21871.53207118436,23294.084679421256,LV_BEAR,-1.0,-1.0,1.0765222891845103
2007-03-15,21915.17320143641,23163.909839063414,HV_BULL,-1.0,0.0,1.0743742618177656
2007-03-16,21887.321249766137,23019.34360634919,HV_BULL,-1.0,0.0,1.074213105678493
2007-03-19,22569.850323977236,22923.667509735613,HV_BULL,-1.0,0.0,1.074213105678493
2007-03-20,22801.12344342629,22826.74431552394,HV_BULL,-1.0,0.0,1.074213105678493
2007-03-21,23611.699271115933,22760.871410504074,HV_BULL,1.0,1.0,1.074213105678493
2007-03-22,23544.178315352878,22721.619600037393,HV_BULL,1.0,1.0,1.0709801111263961
2007-03-23,23424.23404392948,22693.560972548046,HV_BULL,1.0,1.0,1.065524073229578
2007-03-26,23544.3307826201,22677.52973412468,HV_BULL,1.0,1.0,1.0709870465738178
2007-03-27,23323.64397775769,22642.08851958605,HV_BULL,1.0,1.0,1.060948421499289
2007-03-28,22954.39160522794,22621.28230238924,LV_BEAR,1.0,0.0,1.0441518299313548
2007-03-29,23218.5219682962,22610.834945617225,HV_BULL,1.0,1.0,1.0439952071568652
2007-03-30,23211.177976669216,22634.350778857857,HV_BULL,1.0,1.0,1.043508393400019
2007-04-02,23403.41078727701,22687.32920553828,HV_BULL,1.0,1.0,1.0521506325641725
2007-04-03,23581.14818394689,22748.27300164634,HV_BULL,1.0,1.0,1.0601411992399576
2007-04-04,23600.205135991306,22816.853005127377,HV_BULL,1.0,1.0,1.0609979454779537
2007-04-05,23729.85850104967,22883.65474382475,HV_BULL,1.0,1.0,1.0668267911663092
2007-04-09,23741.950811652398,22937.417689626152,HV_BULL,1.0,1.0,1.067370426979288
2007-04-10,23915.53757041104,23005.716644695312,HV_BULL,1.0,1.0,1.0751743928068658
2007-04-11,23359.10553226612,23093.364997981007,LV_BEAR,1.0,0.0,1.0501587946004955
