Date,Close,VWAP,signal,equity
2007-01-03,29468.53009265493,,0.0,1.0
2007-01-04,29429.111765539168,,0.0,1.0
2007-01-05,29396.680336847257,,0.0,1.0
2007-01-08,29791.935452842947,,0.0,1.0
2007-01-09,29989.15046603912,29566.375056156718,1.0,1.0
2007-01-10,30333.30824840113,29671.794620330977,1.0,1.0113260764147602
2007-01-11,30733.680897649312,29786.5902602868,1.0,1.0246746797768513
2007-01-12,30871.742089657724,29923.56808061119,1.0,1.0292777017247252
2007-01-16,30984.58249395238,30029.834369439297,1.0,1.0330398513195485
2007-01-17,30912.8756460772,30107.11617636224,1.0,1.0306491129101465
2007-01-18,30724.991675668312,30159.740251787698,1.0,1.0243849772260718
2007-01-19,31027.378148988868,30237.082290529404,1.0,1.034466677616938
2007-01-22,30735.22871833938,30273.431332358086,1.0,1.0247262848115761
2007-01-23,30695.73067173957,30305.499439383962,1.0,1.0234094022557165
2007-01-24,31437.658308607497,30363.295895749437,1.0,1.0481456018101079
2007-01-25,30765.68221163041,30404.025522853888,1.0,1.0257416179111158
2007-01-26,30561.5302211048,30415.845389775706,1.0,1.0189350991535908
2007-01-29,30686.219578380507,30429.883388658633,1.0,1.0230922981452624
2007-01-30,31178.23991073894,30457.65769059003,1.0,1.0394964762904724
2007-01-31,31728.13303456187,30516.724648924006,1.0,1.057830159211214
2007-02-01,32123.13381916293,30639.565203959904,1.0,1.0709996622011293
2007-02-02,32134.60129114921,30767.000813379196,1.0,1.0713819928508332
2007-02-05,32407.760594650263,30940.64598008951,1.0,1.080489246315693
2007-02-06,32566.731239517,31084.92872642951,1.0,1.0857893987824678
2007-02-07,32856.31237749845,31223.009434087067,1.0,1.0954441635605212
2007-02-08,33211.37507720333,31391.108310983458,1.0,1.1072821129207826
2007-02-09,33158.580862006944,31521.65104373,1.0,1.105521930151573
2007-02-12,33053.24626340985,31635.112241642037,1.0,1.1020100274788556
2007-02-13,33348.69242032805,31751.173419678456,1.0,1.111860334613873
2007-02-14,34241.534002305,31932.963749215054,1.0,1.1416280726583472
2007-02-15,34245.16393605427,32076.882454679137,1.0,1.1417490962745722
2007-02-16,34015.923388711395,32243.43018013648,1.0,1.134106113801282
2007-02-20,34369.348321563164,32385.873660522317,1.0,1.1458894592814761
2007-02-21,34677.01316853235,32579.801059215988,1.0,1.156147143012775
2007-02-22,34849.93317926646,32725.11862558582,1.0,1.161912373582327
2007-02-23,34693.53826229841,32924.42191208957,1.0,1.1566980970367793
2007-02-26,34716.7990763712,33122.92083445973,1.0,1.157473622991212
2007-02-27,33467.68653936836,33285.73926778824,1.0,1.1158276518131702
2007-02-28,34054.60752935052,33434.504808398575,1.0,1.1353958603680485
2007-03-01,33956.878792004725,33575.759221462744,1.0,1.1321375405143905
2007-03-02,33276.7664861691,33641.474023638606,-1.0,1.1094622917696912
